name,gender,species,year,carrot,bean,cake,meat,mud,dirt
foxy,female,fox,2021,7,7,8,7,1,1
bunny,female,bunny,2021,10,7,10,9,1,1
doggie,male,dog,2021,8,7,10,10,1,1
flopsy,nb,bunny,2021,10,10,9,10,1,1
fluffy,female,cat,2021,7,9,8,8,2,1
furry,male,bunny,2021,9,8,8,8,1,1
giganticky,male,bunny,2021,6,8,10,10,3,1
grey,female,bunny,2021,9,8,10,9,2,1
panda,male,bear,2021,6,6,9,10,1,1
pink bear,male,bear,2021,8,8,6,7,1,1
purple bunny,female,bunny,2021,10,10,8,8,1,1
shaggy,female,bear,2021,5,6,10,10,1,1
turtle,female,turtle,2021,8,6,10,8,1,1
bamboo,female,bear,2021,7,6,9,9,2,2
blue bunny,female,bunny,2021,8,8,7,7,2,2
cloud,male,bunny,2021,10,9,7,7,2,2
froggie,female,frog,2021,9,10,9,8,2,2
holly,female,bunny,2021,10,10,8,8,3,2
lfb,female,bunny,2021,10,8,10,9,2,2
monkey,male,monkey,2021,6,7,8,8,2,2
pink bunny,female,bunny,2021,9,8,7,7,1,2
quackers,male,duck,2021,8,9,10,8,2,2
snowflake,male,bunny,2021,10,10,9,8,1,2
snowy,male,bear,2021,8,7,7,6,2,2
tweak,female,cat,2021,6,6,7,8,2,2
wiggly tail,male,bunny,2021,9,8,9,10,2,2
barky,male,dog,2021,6,7,7,8,1,3
cuddly,male,bear,2021,7,6,9,10,1,3
douglas,male,hedgehog,2021,7,8,7,7,3,3
gladly,male,bear,2021,7,7,10,10,2,3
lovey,female,bunny,2021,8,9,8,8,1,3
paw paw,male,dog,2021,6,6,7,8,1,3
shadow,female,bunny,2021,9,6,10,8,2,3
foxy,female,fox,2020,7,7,8,7,1,1
bunny,female,bunny,2020,9,6,9,8,1,1
doggie,male,dog,2020,7,6,10,10,1,1
flopsy,nb,bunny,2020,10,10,8,9,1,1
fluffy,female,cat,2020,6,8,7,7,2,1
furry,male,bunny,2020,8,7,7,7,1,1
giganticky,male,bunny,2020,6,8,10,10,1,1
monkey,male,monkey,2020,5,6,6,6,1,1
pink bear,male,bear,2020,7,7,5,6,1,1
purple bunny,female,bunny,2020,10,10,7,7,1,1
shaggy,female,bear,2020,4,5,9,9,1,1
snowflake,male,bunny,2020,10,10,8,7,1,1
turtle,female,turtle,2020,8,6,10,8,1,1
bamboo,female,bear,2020,6,5,8,8,2,2
blue bunny,female,bunny,2020,7,7,6,6,2,2
cloud,male,bunny,2020,9,10,7,7,2,2
froggie,female,frog,2020,8,9,8,7,2,2
gladly,male,bear,2020,6,6,9,9,2,2
grey,female,bunny,2020,9,8,8,7,1,2
holly,female,bunny,2020,9,9,8,9,2,2
lfb,female,bunny,2020,9,7,8,8,2,2
panda,male,bear,2020,6,6,9,10,2,2
pink bunny,female,bunny,2020,8,10,6,6,1,2
quackers,male,duck,2020,8,9,10,8,2,2
shadow,female,bunny,2020,8,5,9,10,2,2
snowy,male,bear,2020,8,7,6,5,2,2
tweak,female,cat,2020,5,5,6,7,2,2
wiggly tail,male,bunny,2020,8,7,8,9,2,2
barky,male,dog,2020,6,7,7,8,1,3
cuddly,male,bear,2020,6,5,8,9,1,3
douglas,male,hedgehog,2020,6,7,6,6,3,3
paw paw,male,dog,2020,6,6,7,7,1,3
foxy,female,fox,2019,6,6,7,6,1,1
blue bunny,female,bunny,2019,7,7,6,6,1,1
bunny,female,bunny,2019,8,5,8,7,1,1
cuddly,male,bear,2019,6,5,8,9,2,1
doggie,male,dog,2019,7,6,9,9,1,1
flopsy,nb,bunny,2019,9,10,7,8,1,1
fluffy,female,cat,2019,5,7,7,7,2,1
furry,male,bunny,2019,7,6,7,7,2,1
holly,female,bunny,2019,8,8,6,7,1,1
lfb,female,bunny,2019,8,6,7,8,1,1
pink bear,male,bear,2019,6,6,4,5,1,1
purple bunny,female,bunny,2019,9,9,6,6,1,1
shaggy,female,bear,2019,3,4,9,9,1,1
turtle,female,turtle,2019,7,5,9,10,1,1
tweak,female,cat,2019,5,5,5,6,1,1
bamboo,female,bear,2019,6,5,7,7,2,2
froggie,female,frog,2019,8,9,7,6,2,2
gladly,male,bear,2019,5,5,8,8,1,2
grey,female,bunny,2019,8,10,8,7,1,2
monkey,male,monkey,2019,5,6,5,5,2,2
pink bunny,female,bunny,2019,7,9,6,6,1,2
snowy,male,bear,2019,8,7,6,5,2,2
wiggly tail,male,bunny,2019,8,7,7,8,2,2
barky,male,dog,2019,5,6,7,8,1,3
cloud,male,bunny,2019,8,8,6,6,3,3
douglas,male,hedgehog,2019,5,6,6,6,3,3
giganticky,male,bunny,2019,5,7,10,10,1,3
paw paw,male,dog,2019,5,5,7,6,1,3
shadow,female,bunny,2019,7,4,8,9,3,3
foxy,female,fox,2018,6,6,6,5,1,1
blue bunny,female,bunny,2018,7,7,6,6,1,1
bunny,female,bunny,2018,7,4,7,6,1,1
fluffy,female,cat,2018,5,7,7,7,2,1
giganticky,male,bunny,2018,6,8,10,10,1,1
holly,female,bunny,2018,8,8,7,7,1,1
lfb,female,bunny,2018,8,6,7,7,1,1
pink bear,male,bear,2018,7,7,3,4,1,1
purple bunny,female,bunny,2018,9,9,7,7,1,1
turtle,female,turtle,2018,7,5,9,10,1,1
tweak,female,cat,2018,4,4,5,6,1,1
cuddly,male,bear,2018,6,5,8,9,3,2
doggie,male,dog,2018,8,7,9,9,2,2
froggie,female,frog,2018,8,9,7,6,2,2
gladly,male,bear,2018,5,5,9,9,3,2
monkey,male,monkey,2018,5,6,5,5,2,2
pink bunny,female,bunny,2018,6,8,7,7,1,2
snowy,male,bear,2018,8,7,6,5,2,2
wiggly tail,male,bunny,2018,7,6,7,8,2,2
barky,male,dog,2018,5,6,8,9,1,3
cloud,male,bunny,2018,8,8,7,7,3,3
douglas,male,hedgehog,2018,5,6,6,6,3,3
grey,female,bunny,2018,8,10,9,8,2,3
foxy,female,fox,2017,6,6,6,5,1,1
bunny,female,bunny,2017,7,4,7,6,1,1
fluffy,female,cat,2017,5,7,6,6,2,1
giganticky,male,bunny,2017,6,8,9,9,1,1
holly,female,bunny,2017,8,8,7,8,2,1
lfb,female,bunny,2017,8,6,7,7,1,1
pink bear,male,bear,2017,7,7,3,4,1,1
purple bunny,female,bunny,2017,9,9,5,5,1,1
tweak,female,cat,2017,4,4,6,7,1,1
blue bunny,female,bunny,2017,7,7,6,6,1,2
doggie,male,dog,2017,8,7,8,8,2,2
froggie,female,frog,2017,8,9,7,6,2,2
gladly,male,bear,2017,5,5,9,9,2,2
pink bunny,female,bunny,2017,6,8,7,7,1,2
snowy,male,bear,2017,8,7,6,5,2,2
barky,male,dog,2017,5,6,8,9,1,3
douglas,male,hedgehog,2017,5,6,6,6,3,3
wiggly tail,male,bunny,2017,7,6,7,8,3,3